subject;AF3;AF3+AF4;AF3+Pz;AF3+Pz+AF4;AF3+Pz+T8;AF3+Pz+T8+AF4;AF3+T7;AF3+T7+AF4;AF3+T7+Pz;AF3+T7+Pz+AF4;AF3+T7+Pz+T8;AF3+T7+Pz+T8+AF4;AF3+T7+T8;AF3+T7+T8+AF4;AF3+T8;AF3+T8+AF4;AF4;Pz;Pz+AF4;Pz+T8;Pz+T8+AF4;T7;T7+AF4;T7+Pz;T7+Pz+AF4;T7+Pz+T8;T7+Pz+T8+AF4;T7+T8;T7+T8+AF4;T8;T8+AF4;best Accuracy;Best channel
S01;0,5;0,56;0,46;0,46;0,48;0,66;0,48;0,6;0,48;0,52;0,54;0,6;0,62;0,58;0,58;0,56;0,64;0,52;0,52;0,54;0,62;0,48;0,52;0,44;0,56;0,6;0,64;0,46;0,58;0,48;0,56;0,66;AF3+Pz+T8+AF4
S02;0,4;0,58;0,4;0,42;0,5;0,42;0,36;0,36;0,42;0,3;0,5;0,42;0,36;0,52;0,6;0,66;0,34;0,48;0,46;0,52;0,44;0,44;0,44;0,48;0,5;0,56;0,42;0,52;0,46;0,54;0,44;0,66;AF3+T8+AF4
S03;0,5;0,7;0,58;0,5;0,6;0,58;0,48;0,52;0,48;0,48;0,48;0,46;0,46;0,46;0,48;0,58;0,58;0,54;0,5;0,54;0,44;0,5;0,46;0,52;0,38;0,42;0,44;0,44;0,5;0,6;0,44;0,7;T8
S04;0,52;0,5;0,48;0,44;0,46;0,44;0,44;0,46;0,44;0,52;0,5;0,56;0,48;0,46;0,32;0,58;0,44;0,56;0,48;0,5;0,48;0,42;0,48;0,6;0,54;0,52;0,58;0,52;0,56;0,62;0,44;0,62;T8
S05;0,54;0,66;0,54;0,42;0,62;0,52;0,52;0,56;0,44;0,5;0,46;0,54;0,5;0,56;0,56;0,56;0,6;0,48;0,5;0,46;0,5;0,5;0,52;0,5;0,48;0,54;0,6;0,52;0,56;0,64;0,52;0,66;AF3+AF4
S06;0,54;0,6;0,54;0,7;0,58;0,7;0,5;0,54;0,68;0,6;0,6;0,64;0,54;0,6;0,48;0,46;0,6;0,54;0,72;0,54;0,54;0,54;0,54;0,62;0,54;0,58;0,7;0,48;0,62;0,48;0,62;0,72;AF4
S07;0,72;0,58;0,7;0,66;0,66;0,56;0,7;0,74;0,68;0,7;0,72;0,7;0,64;0,64;0,54;0,68;0,56;0,62;0,56;0,62;0,56;0,54;0,62;0,7;0,58;0,66;0,7;0,52;0,58;0,52;0,68;0,74;AF3+T7+AF4
S08;0,5;0,5;0,46;0,46;0,56;0,58;0,52;0,54;0,58;0,44;0,64;0,5;0,58;0,5;0,52;0,52;0,58;0,46;0,6;0,58;0,58;0,52;0,52;0,5;0,52;0,62;0,54;0,56;0,5;0,46;0,56;0,64;AF4
S09;0,36;0,34;0,34;0,28;0,36;0,24;0,4;0,36;0,14;0,24;0,22;0,2;0,3;0,3;0,26;0,38;0,4;0,26;0,4;0,34;0,38;0,54;0,28;0,26;0,12;0,28;0,28;0,16;0,24;0,18;0,3;0,54;T7
S10;0,54;0,7;0,38;0,62;0,42;0,44;0,44;0,5;0,52;0,6;0,48;0,62;0,54;0,6;0,5;0,52;0,56;0,54;0,54;0,5;0,56;0,54;0,54;0,48;0,56;0,5;0,48;0,6;0,52;0,54;0,54;0,7;AF3+AF4
S11;0,48;0,56;0,48;0,54;0,56;0,58;0,54;0,62;0,6;0,56;0,52;0,58;0,62;0,52;0,6;0,64;0,54;0,56;0,52;0,52;0,48;0,48;0,5;0,5;0,52;0,5;0,5;0,5;0,56;0,52;0,5;0,64;Pz
S12;0,64;0,74;0,68;0,46;0,58;0,58;0,48;0,5;0,62;0,5;0,46;0,74;0,36;0,46;0,54;0,52;0,52;0,64;0,5;0,58;0,5;0,34;0,62;0,5;0,58;0,58;0,48;0,52;0,48;0,46;0,46;0,74;AF3+AF4
S13;0,56;0,5;0,66;0,58;0,44;0,48;0,44;0,42;0,58;0,5;0,58;0,56;0,48;0,46;0,4;0,44;0,54;0,62;0,62;0,64;0,5;0,4;0,48;0,56;0,64;0,7;0,68;0,46;0,52;0,68;0,52;0,7;T8
S14;0,5;0,54;0,58;0,5;0,56;0,6;0,46;0,48;0,48;0,44;0,52;0,52;0,48;0,48;0,56;0,4;0,5;0,46;0,52;0,48;0,64;0,5;0,5;0,44;0,42;0,44;0,46;0,4;0,5;0,48;0,62;0,64;Pz+T8+AF4
S15;0,5;0,46;0,42;0,48;0,46;0,54;0,58;0,4;0,4;0,4;0,5;0,44;0,48;0,54;0,54;0,46;0,46;0,54;0,44;0,42;0,44;0,5;0,5;0,52;0,48;0,54;0,42;0,54;0,48;0,62;0,44;0,62;T8
S16;0,48;0,5;0,48;0,52;0,5;0,52;0,48;0,5;0,36;0,34;0,4;0,42;0,54;0,5;0,5;0,54;0,58;0,56;0,58;0,46;0,62;0,52;0,5;0,42;0,54;0,42;0,42;0,5;0,5;0,44;0,54;0,62;Pz+T8+AF4
S17;0,4;0,54;0,46;0,56;0,56;0,46;0,54;0,56;0,44;0,5;0,46;0,48;0,5;0,52;0,54;0,56;0,52;0,52;0,46;0,54;0,56;0,58;0,6;0,54;0,58;0,56;0,58;0,54;0,56;0,52;0,52;0,6;T7+AF4
S18;0,56;0,6;0,56;0,62;0,6;0,6;0,6;0,6;0,62;0,58;0,62;0,66;0,62;0,66;0,6;0,62;0,64;0,5;0,6;0,56;0,58;0,64;0,6;0,62;0,62;0,6;0,62;0,62;0,66;0,44;0,5;0,66;AF3+T7+Pz+T8+AF4
S19;0,54;0,48;0,52;0,52;0,56;0,5;0,32;0,44;0,46;0,54;0,52;0,48;0,4;0,48;0,44;0,4;0,4;0,5;0,54;0,56;0,6;0,46;0,48;0,38;0,38;0,46;0,48;0,64;0,46;0,44;0,5;0,64;T7+T8
S20;0,56;0,56;0,54;0,62;0,54;0,5;0,52;0,5;0,54;0,46;0,6;0,48;0,56;0,42;0,52;0,56;0,52;0,54;0,66;0,5;0,54;0,46;0,52;0,52;0,48;0,46;0,5;0,56;0,54;0,5;0,54;0,66;Pz+AF4
S21;0,66;0,56;0,52;0,56;0,68;0,62;0,64;0,6;0,56;0,54;0,58;0,66;0,62;0,6;0,6;0,52;0,48;0,54;0,66;0,58;0,62;0,54;0,52;0,7;0,56;0,62;0,74;0,5;0,58;0,62;0,54;0,74;T7+Pz+T8+AF4
S22;0,5;0,54;0,56;0,52;0,42;0,52;0,58;0,52;0,56;0,58;0,56;0,58;0,66;0,6;0,48;0,6;0,48;0,44;0,52;0,44;0,48;0,52;0,5;0,6;0,52;0,58;0,56;0,54;0,58;0,54;0,56;0,66;T8
S23;0,44;0,48;0,54;0,48;0,6;0,6;0,56;0,52;0,48;0,52;0,68;0,52;0,56;0,54;0,7;0,64;0,42;0,48;0,54;0,6;0,52;0,46;0,54;0,62;0,48;0,56;0,56;0,6;0,62;0,56;0,56;0,7;T8
S24;0,64;0,62;0,58;0,52;0,48;0,56;0,66;0,64;0,5;0,48;0,56;0,48;0,54;0,6;0,54;0,48;0,6;0,5;0,48;0,5;0,54;0,58;0,7;0,7;0,48;0,54;0,64;0,66;0,6;0,5;0,56;0,7;T7+AF4
S25;0,5;0,46;0,46;0,58;0,46;0,5;0,48;0,42;0,52;0,5;0,62;0,42;0,42;0,48;0,54;0,38;0,54;0,64;0,6;0,44;0,52;0,46;0,52;0,56;0,5;0,48;0,54;0,38;0,48;0,48;0,48;0,64;Pz
S26;0,48;0,46;0,48;0,42;0,42;0,46;0,56;0,46;0,52;0,5;0,42;0,48;0,44;0,44;0,46;0,46;0,5;0,42;0,42;0,46;0,46;0,44;0,62;0,46;0,56;0,38;0,56;0,4;0,44;0,42;0,46;0,62;AF4
S27;0,48;0,52;0,46;0,5;0,54;0,62;0,48;0,48;0,52;0,42;0,56;0,54;0,54;0,54;0,5;0,44;0,42;0,46;0,46;0,52;0,48;0,7;0,52;0,52;0,56;0,6;0,48;0,46;0,52;0,5;0,48;0,7;T7
Accuracy;0,52;0,54962963;0,513333333;0,516296296;0,525925926;0,532592593;0,50962963;0,512592593;0,504444444;0,491111111;0,52962963;0,528888889;0,512592593;0,520740741;0,514814815;0,524444444;0,517037037;0,515555556;0,533333333;0,516296296;0,525185185;0,503703704;0,523703704;0,528148148;0,506666667;0,52962963;0,540740741;0,503703704;0,525925926;0,51037037;0,514074074;0,52;AF3
SD;0,078126204;0,084917454;0,084502904;0,086416226;0,078469586;0,089467254;0,084742813;0,08574694;0,106434933;0,093860943;0,096665957;0,10726683;0,090782303;0,076299892;0,08702364;0,085432812;0,076536838;0,076076635;0,076011695;0,065328126;0,064771414;0,071396034;0,074642265;0,098169809;0,097676715;0,089999238;0,103634898;0,096614858;0,07809108;0,0935506;0,07197012;;
